frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score,tracking
148,799,483,149,103,15347,16406.6,2.3205940594059404,-883.0,0.0,0,MOVING AWAY,False,39,📉 LOW OVERTAKE CHANCE,0,27.353135313531347,0,success
149,800,482,149,103,15347,16053.4,2.2706364922206506,0.0,0.0,0,MOVING AWAY,False,39,📉 LOW OVERTAKE CHANCE,0,25.687883074021684,0,success
150,801,481,149,103,15347,15700.2,2.2206789250353607,0.0,0.0,0,MOVING AWAY,False,38,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,0,success
151,801,480,149,103,15347,15347.0,2.170721357850071,0.0,0.0,0,MOVING AWAY,False,37,📉 LOW OVERTAKE CHANCE,0,22.357378595002363,0,success
152,801,480,149,103,15347,15347.0,2.170721357850071,0.0,0.0,0,MOVING AWAY,False,36,📉 LOW OVERTAKE CHANCE,0,22.357378595002363,0,success
153,802,479,149,103,15347,15347.0,2.170721357850071,0.0,0.0,0,MOVING AWAY,False,36,📉 LOW OVERTAKE CHANCE,0,22.357378595002363,0,success
154,799,476,157,109,17113,15700.2,2.2206789250353607,883.0,883.0,0,APPROACHING,True,38,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,30,success
155,803,477,149,103,15347,15700.2,2.2206789250353607,0.0,0.0,0,MOVING AWAY,False,37,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,0,success
156,803,477,149,103,15347,15700.2,2.2206789250353607,-883.0,0.0,0,MOVING AWAY,False,37,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,0,success
157,802,477,149,103,15347,15700.2,2.2206789250353607,0.0,0.0,0,MOVING AWAY,False,36,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,0,success
158,802,477,149,103,15347,15700.2,2.2206789250353607,0.0,0.0,0,MOVING AWAY,False,36,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,0,success
