frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
356,3.2356053532524123,0.0,MOVING AWAY,68,0.0
357,3.2356053532524123,0.0,MOVING AWAY,65,0.0
358,3.2356053532524123,0.0,MOVING AWAY,62,0.0
359,3.2356053532524123,0.0,MOVING AWAY,59,0.0
360,3.2356053532524123,400.0,APPROACHING,62,0.0
361,3.2356053532524123,400.0,APPROACHING,65,0.0
362,3.2356053532524123,400.0,APPROACHING,69,0.0
363,3.2356053532524123,400.0,APPROACHING,72,0.0
364,3.2356053532524123,400.0,APPROACHING,75,0.0
365,3.2356053532524123,0.0,MOVING AWAY,75,0.0
366,2.9243697478991595,0.0,MOVING AWAY,74,0.0
367,2.9243697478991595,0.0,MOVING AWAY,74,0.0
368,2.9243697478991595,0.0,MOVING AWAY,74,0.0
369,2.9243697478991595,0.0,MOVING AWAY,73,0.0
370,2.9243697478991595,-1000.0,MOVING AWAY,70,0.0
371,3.2356053532524123,-1000.0,MOVING AWAY,67,0.0
372,3.2356053532524123,-1000.0,MOVING AWAY,64,0.0
373,3.2356053532524123,-1000.0,MOVING AWAY,61,0.0
374,3.2356053532524123,-1000.0,MOVING AWAY,58,0.0
375,3.2356053532524123,1000.0,APPROACHING,61,0.0
376,2.9243697478991595,1000.0,APPROACHING,64,0.0
377,2.9243697478991595,1000.0,APPROACHING,67,0.0
378,2.9243697478991595,1000.0,APPROACHING,70,0.0
379,2.9243697478991595,1000.0,APPROACHING,73,0.0
380,2.98661686896981,-800.0,MOVING AWAY,73,0.0
381,3.2356053532524123,-800.0,MOVING AWAY,73,0.0
382,3.2356053532524123,-800.0,MOVING AWAY,73,0.0
383,3.2356053532524123,-800.0,MOVING AWAY,73,0.0
384,3.2356053532524123,-800.0,MOVING AWAY,73,0.0
385,3.2356053532524123,800.0,APPROACHING,73,0.0
386,3.2356053532524123,800.0,APPROACHING,74,0.0
387,3.2356053532524123,800.0,APPROACHING,74,0.0
388,3.2356053532524123,800.0,APPROACHING,74,0.0
389,3.2356053532524123,800.0,APPROACHING,74,0.0
390,3.299595393713041,205.60000000000036,APPROACHING,78,0.0
391,3.2356053532524123,205.60000000000036,APPROACHING,81,0.0
392,3.2356053532524123,205.60000000000036,APPROACHING,84,0.0
393,3.5555555555555554,205.60000000000036,APPROACHING,87,0.0
394,3.2356053532524123,205.60000000000036,APPROACHING,90,0.0
395,3.4383442265795208,445.7999999999993,APPROACHING,90,0.0
396,3.5555555555555554,445.7999999999993,APPROACHING,90,0.0
397,3.9293495175848117,445.7999999999993,APPROACHING,90,0.0
398,3.2356053532524123,445.7999999999993,APPROACHING,90,0.0
399,3.5555555555555554,445.7999999999993,APPROACHING,90,0.0
400,3.5023342670401494,205.60000000000036,APPROACHING,89,2.5
401,3.2356053532524123,205.60000000000036,APPROACHING,89,2.5
402,3.5555555555555554,205.60000000000036,APPROACHING,89,2.5
403,3.5555555555555554,205.60000000000036,APPROACHING,88,2.5
404,3.5555555555555554,205.60000000000036,APPROACHING,88,2.5
405,3.4915655150949267,-34.600000000000364,MOVING AWAY,85,0.0
406,3.5555555555555554,-34.600000000000364,MOVING AWAY,82,0.0
407,3.5555555555555554,-34.600000000000364,MOVING AWAY,79,0.0
408,3.5555555555555554,-34.600000000000364,MOVING AWAY,76,0.0
